Route ID,Source,Destination,Carrier,Distance (km),Cost per km ($),Total Cost ($),Delivery Time (hrs),Delivery Status
R0001,Denver,Seattle,Carrier A,883,3.43,3028.69,14.17,In Transit
R0002,Miami,Philadelphia,Carrier A,3904,3.13,12219.52,60.97,Delivered
R0003,Boston,Chicago,Carrier C,4409,1.66,7318.94,69.96,Pending
R0004,Miami,Detroit,Carrier A,2904,2.66,7724.64,38.82,In Transit
R0005,Houston,Detroit,Carrier A,1428,1.99,2841.72,17.09,In Transit
R0006,Miami,Miami,Carrier A,1950,2.56,4992.0,19.56,In Transit
R0007,Miami,Boston,Carrier C,1217,3.38,4113.46,12.64,Delivered
R0008,Seattle,Miami,Carrier A,2427,1.64,3980.28,38.79,Pending
R0009,Miami,Houston,Carrier C,4205,2.47,10386.35,45.07,In Transit
R0010,Detroit,Boston,Carrier B,3342,3.12,10427.04,44.27,Delivered
R0011,Denver,Houston,Carrier A,1457,3.28,4778.96,21.69,Delivered
R0012,Las Vegas,Seattle,Carrier C,598,1.91,1142.18,7.13,In Transit
R0013,Houston,Seattle,Carrier B,1989,3.13,6225.57,25.16,In Transit
R0014,Houston,New York,Carrier A,2298,2.36,5423.28,25.0,In Transit
R0015,Boston,Phoenix,Carrier B,2728,1.54,4201.12,32.41,Pending
R0016,Detroit,Las Vegas,Carrier C,486,2.35,1142.1,7.46,In Transit
R0017,Seattle,Seattle,Carrier C,412,2.57,1058.84,4.57,Delivered
R0018,Miami,San Francisco,Carrier B,1222,2.53,3091.66,16.58,Delivered
R0019,Detroit,Phoenix,Carrier C,3928,2.28,8955.84,42.07,Pending
R0020,Detroit,Detroit,Carrier C,1959,3.09,6053.31,22.27,In Transit
R0021,Seattle,Atlanta,Carrier B,1514,1.55,2346.7,25.01,In Transit
R0022,Chicago,Los Angeles,Carrier A,1265,2.62,3314.3,14.71,Delivered
R0023,Phoenix,Los Angeles,Carrier B,1953,1.82,3554.46,29.96,Delivered
R0024,Detroit,Los Angeles,Carrier C,1792,2.72,4874.24,23.47,In Transit
R0025,Miami,Los Angeles,Carrier C,3600,2.2,7920.0,36.72,In Transit
R0026,New York,Houston,Carrier A,423,1.59,672.57,5.69,In Transit
R0027,Las Vegas,Philadelphia,Carrier A,1404,2.81,3945.24,14.5,Pending
R0028,San Francisco,Miami,Carrier B,2873,2.01,5774.73,30.84,Delivered
R0029,Miami,Las Vegas,Carrier C,2923,2.89,8447.47,46.47,Delivered
R0030,New York,Miami,Carrier B,902,2.18,1966.36,13.26,Pending
R0031,Houston,Philadelphia,Carrier B,4471,1.74,7779.54,73.38,Pending
R0032,Seattle,Miami,Carrier C,2679,1.58,4232.82,42.5,Delivered
R0033,Atlanta,Detroit,Carrier C,3707,2.15,7970.05,41.65,Pending
R0034,Miami,Las Vegas,Carrier C,2414,3.49,8424.86,28.61,In Transit
R0035,Seattle,Boston,Carrier B,2398,2.12,5083.76,28.26,Delivered
R0036,San Francisco,Detroit,Carrier C,2263,2.66,6019.58,29.16,Pending
R0037,Las Vegas,San Francisco,Carrier A,658,2.67,1756.86,8.3,In Transit
R0038,Miami,Detroit,Carrier C,2173,3.5,7605.5,32.86,In Transit
R0039,Denver,San Francisco,Carrier B,2688,2.46,6612.48,33.75,Delivered
R0040,New York,Detroit,Carrier B,1464,1.71,2503.44,23.61,Pending
R0041,Phoenix,Detroit,Carrier B,1905,2.85,5429.25,21.21,In Transit
R0042,Miami,Phoenix,Carrier C,4781,3.35,16016.35,53.55,Pending
R0043,Los Angeles,Miami,Carrier B,2097,2.89,6060.33,31.1,In Transit
R0044,Las Vegas,Houston,Carrier C,4318,3.19,13774.42,59.01,Delivered
R0045,Dallas,Seattle,Carrier A,711,3.31,2353.41,10.14,Delivered
R0046,Boston,Philadelphia,Carrier A,2164,3.39,7335.96,30.31,Pending
R0047,Seattle,Dallas,Carrier C,4958,2.46,12196.68,68.81,In Transit
R0048,Miami,Detroit,Carrier B,2926,3.44,10065.44,48.49,In Transit
R0049,Seattle,Boston,Carrier C,1761,2.55,4490.55,23.57,Delivered
R0050,New York,Atlanta,Carrier C,1719,2.85,4899.15,17.5,In Transit
